COD,VALOR_UNIDADE
000-0000-000,7.823575822413361
001-0124-006,191.51749999999998
001-0140-138,122.80900000000004
001-0212-937,202.89625
001-3244-004,799.9449999999999
001-3439-834,403.78999999999996
001-5276-264,229.9
001-5735-004,349.9
001-5735-138,574.9
001-8090-068,159.90000000000003
004-0040-026,38.71164634146329
004-0988-026,170.91003999999998
004-1960-014,53.200526315789475
004-2165-006,129.9
004-2165-223,89.99
004-2165-977,87.218
004-2282-006,49.92243398392685
004-2282-014,48.45977443609058
004-2282-028,51.125720250522015
004-2285-006,37.53235294117633
004-2285-014,34.62006249999981
004-2285-028,42.69046204620448
004-2286-006,39.152222222222186
004-2286-014,37.9174271844659
004-2286-028,39.443979591836694
004-2288-014,38.05620879120866
004-2289-006,34.72571428571429
004-2289-158,40.68899999999999
004-2345-006,32.44148148148148
004-2346-006,78.59666666666668
004-2347-006,40.41
004-2359-006,58.1025
004-2922-036,59.36409090909091
004-2922-158,67.11599999999997
004-3376-006,24.450930232558143
004-3376-939,24.965740740740745
004-3413-038,89.90000000000002
004-3413-443,89.99
004-3458-014,99.9
004-3493-274,79.9
004-3576-832,115.49
004-3823-314,85.85777777777777
004-3880-026,93.0590151515155
004-3880-028,112.09950877193046
004-3880-036,105.01892857142902
004-3880-044,104.37140624999996
004-3938-008,114.82643835616423
004-3938-014,152.91
004-3938-020,179.96
004-3938-044,116.49738317756992
004-3938-152,89.62
004-4011-174,57.56333333333333
004-4545-334,87.99
004-4545-932,88.62666666666668
004-4605-040,73.61476190476192
004-4605-118,78.26789473684212
004-4605-340,69.90470588235296
004-4605-793,65.35176100628915
004-4926-128,83.99
004-5084-451,69.69
004-5525-028,34.08710144927535
004-5577-002,16.520565217391304
004-5588-001,18.0
004-5588-002,14.960178571428573
004-5830-010,120.81565891472853
004-5830-012,152.21374999999995
004-5830-026,130.82201923076917
004-5830-042,110.905
004-5830-058,100.60769230769233
004-5830-143,138.17615464320696
004-5830-172,143.38196385341183
004-5830-226,86.16
004-5830-244,160.79837837837823
004-5830-306,153.68043859649117
004-5830-987,141.4018274383727
004-6025-026,49.9
004-6084-006,109.9
004-6084-014,109.99
004-6091-957,186.62666666666667
004-6137-208,39.9
004-6147-026,99.9
004-6147-138,108.76777777777778
004-6187-006,139.93
004-6194-026,139.9
004-6271-256,99.9
004-6518-028,149.99
004-6518-834,109.34888888888888
004-6519-026,113.83345454545443
004-6520-223,109.05833333333334
004-6520-791,94.99
004-6520-977,99.99
004-6688-001,11.610082352941177
004-6688-002,11.18251975308642
004-6866-026,78.94096153846152
004-6866-028,100.05666666666666
004-7569-026,69.99
004-7569-068,76.26777777777778
004-7569-128,87.4425
004-7569-304,74.3408695652174
004-7569-360,99.945
004-7569-424,119.9
004-7570-014,115.0975
004-7623-794,129.9
004-7777-001,11.741790902527075
004-7788-002,11.503596805896805
004-7807-014,15.854193548387101
004-7809-014,16.4348275862069
004-7827-338,159.9
004-8032-006,48.089999999999996
004-8180-300,302.858
004-8275-028,35.9
004-8877-001,9.468071621621622
004-8877-002,7.805172151898734
004-8888-001,9.64630786516854
004-8888-002,7.398543750000001
004-9998-076,15.0
007-8060-006,49.99
007-8060-016,49.99
007-8060-030,49.99
007-8061-006,39.99
007-8062-006,79.99
007-8062-008,79.99
007-8064-006,49.99
007-8065-794,59.99
007-8066-006,99.99
007-8068-010,99.99
007-8068-016,98.74249999999999
007-8069-006,74.99
007-8071-006,99.99
007-8075-006,139.99
007-8077-008,54.99
007-8083-010,39.99
007-8088-006,99.99
007-8096-006,99.99
007-8099-006,99.99
007-8099-108,99.99
009-0013-056,119.89999999999996
009-0013-987,179.9
009-0081-018,116.95408810810807
009-0082-018,109.93642727272726
009-0092-006,111.2
009-0093-006,225.0525
009-0098-016,43.082857142857144
009-0110-006,145.0
009-0114-016,150.93
009-0116-006,38.73666666666667
009-0122-010,94.91166666666668
009-0124-006,80.04
009-0125-030,75.08000000000001
009-0277-234,89.9
009-0306-006,166.0075
009-0308-010,13.92
009-2112-006,117.73980190476175
009-2112-016,125.79856216216207
009-2214-008,130.59
009-2216-006,138.51
009-4040-460,22.424242846153827
009-4410-006,29.69666666666666
009-4411-018,36.5925
009-4454-016,23.699818593750027
011-9014-006,629.5396428571428
011-9093-006,1599.9
011-9093-014,1479.9050000000002
011-9096-006,499.9
011-9097-008,999.9
011-9098-006,877.4
011-9144-006,983.3083333333333
011-9144-014,983.2933333333334
011-9145-006,1286.0225
011-9145-010,973.43
011-9145-014,1330.6914285714286
011-9145-042,1278.892857142857
011-9146-006,399.99
011-9163-006,149.99
012-0002-014,19.9
012-0002-030,16.501666666666665
014-0021-006,25.9
014-0024-008,38.266666666666666
014-0024-016,34.9
014-1511-118,278.88333333333327
014-1512-006,68.44
014-1519-006,22.799999999999997
014-1545-006,783.0
014-1551-064,52.2
014-1573-010,5.85
015-0052-014,129.92999999999998
016-0003-497,88.08166666666666
016-0013-006,150.28694915254232
016-0013-028,136.1279661016949
016-0013-044,172.3590909090909
016-0013-120,179.90000000000003
016-0014-152,159.99
016-0015-236,155.945
017-0423-012,54.99
017-0473-150,119.90000000000002
017-1299-008,39.8
017-1299-038,39.800000000000004
017-2098-038,49.797272727272734
017-7002-777,79.9
017-9350-028,124.03312499999993
017-9350-056,126.72682080924879
017-9350-058,129.80381578947353
017-9350-178,121.84481481481482
017-9350-244,148.8658333333333
017-9350-312,128.44875000000002
017-9350-360,132.27800000000002
017-9350-793,137.84544303797455
017-9352-002,167.4
017-9352-028,233.945
017-9352-068,233.9325
017-9352-080,161.57857142857145
017-9352-118,158.0209090909091
017-9352-120,249.9
017-9352-124,141.98114285714277
017-9352-128,203.92999999999998
017-9352-312,151.9
017-9352-443,102.2278378378379
017-9352-808,165.18294117647062
017-9358-450,189.9
017-9360-068,125.96
017-9360-178,114.565
017-9361-956,119.99
017-9367-024,107.04
017-9511-006,46.27
017-9519-298,118.99
017-9522-026,81.9
017-9522-219,199.9
017-9522-846,199.9
017-9525-044,106.224
017-9541-014,119.83759425925925
017-9542-226,168.26000000000002
017-9546-002,94.30875
017-9550-818,115.37203333333332
017-9552-132,130.3209090909091
017-9553-132,140.75273
017-9676-210,88.19
017-9679-210,68.19466666666668
017-9787-129,88.07300000000001
017-9788-012,229.31
017-9788-022,154.9
017-9788-324,99.89999999999982
017-9789-432,196.54800000000003
017-9789-778,179.89
017-9789-788,218.9
017-9789-794,182.93521739130432
017-9789-937,299.9
017-9789-956,208.61
017-9796-511,179.9
017-9806-270,219.9
017-9806-819,219.9
017-9807-172,219.9
017-9807-270,219.9
017-9808-172,219.9
017-9811-172,219.9
017-9811-270,219.9
